"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.504072917E0,1.304275926E-2,4.957785630E-3,-3.557679892E-2,3.821520416E-2
2.514054917E0,5.390841042E-3,3.193146195E-3,5.139117837E-3,8.103572169E-3
2.524035917E0,4.787952851E-3,3.494538185E-3,1.621608317E-2,1.726550442E-2
2.534017917E0,3.366232915E-3,1.138572116E-2,-2.210481405E-2,2.509161164E-2
2.543998792E0,-1.501840552E-2,2.951555690E-3,7.863511026E-2,8.011082793E-2
2.553980792E0,-6.338907103E-3,8.807377713E-3,-3.423135459E-2,3.591012786E-2
2.563961792E0,1.592855348E-3,2.808956718E-3,-5.264423668E-2,5.274318043E-2
2.573943792E0,1.491659088E-2,6.048209122E-3,6.516254067E-2,6.712110118E-2
2.583925792E0,1.179292149E-2,2.559051289E-2,-9.980027676E-3,2.989227826E-2
2.593906792E0,1.221503906E-2,2.736235171E-2,-7.075364828E-2,7.683738814E-2
2.603888792E0,1.507251854E-2,2.208371839E-2,-3.123641074E-2,4.111672152E-2
2.613869792E0,7.171048688E-3,3.649005177E-2,-8.481971025E-3,3.814304196E-2
2.623851792E0,3.669723964E-3,3.346466128E-2,7.987296581E-4,3.367474421E-2
2.633833792E0,-9.658153300E-3,2.471761496E-2,-4.755014241E-2,5.445416841E-2
2.643814792E0,-7.195908491E-3,1.768249176E-2,-2.913842976E-2,3.483532263E-2
2.653796792E0,-1.457974900E-2,2.214494971E-2,2.175573528E-2,3.429693712E-2
2.663777792E0,-1.677446485E-2,2.329927687E-2,3.013947308E-2,4.162483407E-2
2.673759792E0,-1.709172256E-3,4.153770637E-3,-1.102550983E-2,1.190533273E-2
2.683741792E0,4.320972168E-3,-1.262130635E-4,1.352285564E-2,1.419698401E-2
2.693722792E0,1.713099997E-3,-3.248516587E-3,6.127414227E-2,6.138410284E-2
2.703704792E0,-1.137357791E-2,-1.456461477E-2,5.124558270E-2,5.447564615E-2
2.713685792E0,-1.816317058E-3,-1.914785882E-2,7.010636151E-2,7.269691485E-2
2.723667792E0,1.011654874E-2,-1.543806545E-2,5.618472576E-2,5.913883523E-2
2.733649792E0,1.498873205E-2,-2.470487899E-2,1.621666789E-2,3.313568246E-2
2.743630792E0,1.813327326E-2,-3.528551165E-2,2.654460490E-2,4.773362526E-2
2.753612792E0,1.270163818E-2,-2.570103440E-2,3.896993816E-2,4.837903329E-2
2.763593792E0,1.406060191E-2,-2.941487515E-2,-1.342111409E-2,3.525708028E-2
2.773575792E0,2.141649856E-2,-2.831874149E-2,-4.680228353E-2,5.874581920E-2
2.783556792E0,2.430775027E-2,-1.946853292E-2,-2.449866414E-2,3.962417244E-2
2.793538792E0,7.820485911E-3,-8.449126119E-3,-6.581275105E-2,6.681216905E-2
2.803520792E0,2.916007302E-3,-7.885427121E-4,-1.170051241E-1,1.170441112E-1
2.813501792E0,1.173864802E-3,3.562516635E-3,-5.293776691E-2,5.307048755E-2
2.823483792E0,1.674194314E-3,1.997441301E-2,-7.419414997E-2,7.685409548E-2
2.833464792E0,2.906903290E-3,3.018164156E-2,-1.276341927E-1,1.311863892E-1
2.843446792E0,1.579846720E-3,2.585116623E-2,-8.572252035E-2,8.954959077E-2
2.853428792E0,3.489384755E-3,4.047387857E-2,-6.940586507E-2,8.042067370E-2
2.863409792E0,3.737801200E-4,3.463621032E-2,-7.075306356E-2,7.877691781E-2
2.873391792E0,6.295156911E-3,3.017501776E-2,-2.090730429E-2,3.724615510E-2
2.883372792E0,8.117596986E-3,3.109442846E-2,-1.222594321E-2,3.438360873E-2
2.893354792E0,3.275614206E-3,2.921762756E-2,1.052615762E-2,3.122818283E-2
2.903336792E0,4.933288994E-3,1.549280543E-2,1.786148965E-2,2.415361615E-2
2.913317792E0,6.134041566E-3,1.219410786E-2,4.988259673E-3,1.453290979E-2
2.923299792E0,4.361785048E-3,1.158139732E-2,3.103409708E-2,3.341061379E-2
2.933280792E0,2.646098629E-3,-4.867560351E-3,2.100612223E-2,2.172445978E-2
2.943262792E0,7.415805483E-3,2.856899318E-3,1.711538494E-2,1.887041192E-2
2.953244792E0,6.033320421E-3,5.555348229E-3,2.385254681E-2,2.522314093E-2
